id_cliente,data_referencia,setor,porte,uf,tempo_relacionamento_meses,faturamento_mensal_estimado,saldo_devedor,dias_atraso,qtd_contratos_ativos,qtd_parcelas_vencidas,limite_credito,utilizacao_limite_pct,qtd_contatos_ult_30d,promessa_pagamento_ult_30d,renegociacoes_ult_12m,canal_preferencial,risco_setorial,score_regularizacao_legado,score_cobranca_atualizado_30d,regularizou_30d
PJ0001,2026-02-28,Serviços,Média,RJ,239,,410068.67,53,4,2,1310497.69,0.3139,6,1,0,email,baixo,415,856,1
PJ0002,2026-02-28,Serviços,Média,SP,83,127511.23,89328.99,24,1,1,207667.39,0.5994,2,1,0,telefone,baixo,938,874,1
PJ0003,2026-01-28,Tecnologia,EPP,SP,203,113597.72,53874.97,52,4,3,82609.48,0.623,5,0,0,whatsapp,,547,57,0
PJ0004,2026-01-28,Tecnologia,ME,RS,153,32413.94,8590.95,45,1,1,21274.16,0.3296,1,0,0,portal,alto,818,881,1
PJ0005,2026-02-28,Comércio,ME,SC,208,96854.12,19745.94,43,2,1,83140.62,0.1913,4,0,0,whatsapp,baixo,527,909,1
PJ0006,2026-04-30,Tecnologia,EPP,PE,121,164623.39,42705.82,15,3,1,110178.89,0.4395,8,1,0,telefone,baixo,886,855,1
PJ0007,2026-02-28,Agronegócio,Média,SC,55,64693.64,25552.45,96,3,3,53574.42,0.4112,8,0,1,portal,baixo,393,429,0
PJ0008,2026-02-28,Comércio,ME,PR,118,94120.48,50734.91,17,1,2,154832.86,0.2494,1,1,1,telefone,baixo,858,979,1
PJ0009,2026-04-30,Agronegócio,ME,SP,75,,4202.11,13,4,1,13325.99,0.3922,0,0,0,telefone,medio,562,395,0
PJ0010,2026-04-30,Serviços,ME,PE,91,10671.53,2000.0,55,1,1,6078.06,0.5027,0,0,2,email,alto,181,155,0
PJ0011,2026-03-28,Serviços,EPP,SP,132,72064.35,40263.58,32,2,2,58063.11,0.6816,0,0,2,whatsapp,alto,214,863,1
