id_interacao,id_cliente,data_interacao,canal,direcao,resultado,texto
INT000005,PJ0001,2025-12-23,whatsapp,ativa,sem_sucesso,E-mail devolvido; necessário validar o endereço antes de nova tentativa.
INT000002,PJ0001,2026-01-07,telefone,ativa,sem_sucesso,"Mensagem enviada no canal autorizado, ainda sem retorno do representante."
INT000003,PJ0001,2026-01-21,whatsapp,ativa,intencao_pagamento,Cliente reconheceu o débito e solicitou prazo curto para organizar o pagamento.
INT000001,PJ0001,2026-02-04,email,ativa,sem_sucesso,"Mensagem enviada no canal autorizado, ainda sem retorno do representante."
INT000004,PJ0001,2026-02-27,telefone,ativa,promessa_registrada,"Promessa de pagamento registrada para os próximos dias, aguardando acompanhamento."
INT000006,PJ0002,2025-12-23,whatsapp,receptiva,intencao_pagamento,Cliente reconheceu o débito e solicitou prazo curto para organizar o pagamento.
INT000008,PJ0002,2026-01-25,telefone,ativa,intencao_pagamento,Representante confirmou intenção de pagamento após recebimento de cliente relevante.
INT000007,PJ0002,2026-01-28,telefone,ativa,recusa_oferta,Cliente considerou a parcela acima da capacidade atual e recusou a oferta.
INT000009,PJ0003,2026-01-01,telefone,ativa,promessa_registrada,Cliente confirmou data e valor para pagamento parcial pelo portal.
INT000011,PJ0004,2025-11-24,whatsapp,receptiva,sem_sucesso,E-mail devolvido; necessário validar o endereço antes de nova tentativa.
INT000010,PJ0004,2026-01-09,whatsapp,receptiva,dificuldade_temporaria,Cliente relatou queda temporária de faturamento e interesse em parcelamento.
INT000012,PJ0005,2026-02-25,whatsapp,ativa,promessa_registrada,"Promessa de pagamento registrada para os próximos dias, aguardando acompanhamento."
INT000013,PJ0005,2026-02-26,whatsapp,ativa,recusa_oferta,Proposta apresentada não foi aceita; solicitado novo contato após revisão do caixa.
INT000018,PJ0006,2026-02-24,email,receptiva,recusa_oferta,Proposta apresentada não foi aceita; solicitado novo contato após revisão do caixa.
INT000017,PJ0006,2026-03-01,whatsapp,receptiva,intencao_pagamento,Empresa informou fluxo de caixa previsto e pediu envio das opções no portal.
INT000016,PJ0006,2026-03-14,portal,ativa,recusa_oferta,Cliente considerou a parcela acima da capacidade atual e recusou a oferta.
INT000015,PJ0006,2026-04-19,email,ativa,dificuldade_temporaria,Representante relatou atraso pontual de um comprador e solicitou nova condição.
INT000014,PJ0006,2026-04-25,whatsapp,ativa,dificuldade_temporaria,Empresa informou sazonalidade no caixa e pediu parcelas alinhadas aos recebíveis.
